iter	Passed	Remaining
1634	6980	5827
1635	6984	5823
1636	6988	5818
1637	6993	5814
1638	6997	5810
1639	7001	5806
1640	7005	5801
1641	7008	5796
1642	7012	5791
1643	7016	5787
1644	7019	5781
1645	7022	5776
1646	7026	5772
1647	7031	5768
1648	7035	5763
1649	7037	5758
1650	7042	5753
1651	7046	5749
1652	7050	5745
1653	7053	5740
1654	7058	5736
1655	7062	5731
1656	7065	5726
1657	7069	5722
1658	7073	5717
1659	7077	5713
1660	7082	5709
1661	7086	5705
1662	7092	5701
1663	7097	5698
1664	7102	5695
1665	7108	5691
1666	7114	5689
1667	7118	5684
1668	7125	5682
1669	7134	5681
1670	7142	5680
1671	7146	5676
1672	7149	5671
1673	7154	5666
